round,task_id,target_class,target_ground_truth_station,selected_station,observed_class_id,recognition_correct,recognition_status,recognition_failure,stuck,stuck_reason,success,status,completed_stage,last_operational_stage,error_code,message,cube_scene_status,cube_scene_file,gazebo_recording_status,gazebo_recording_path,gazebo_recording_size_bytes,gazebo_recording_manifest,progress_timeout_seconds,duration_seconds,started_at,round_dir,log_file
1,pre_cone_001_1786749392,food,35,35,0,True,correct,False,False,,True,object_grasped,14,14,0,target cube grasped and lifted from seq35,complete,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260815_071632_seed18004573831578832316/round_001/cube_scene.json,complete,/home/ianichinose/gazebo_ws/data/teb_pre_cone/pre_cone_e2e_trials_20260815_071632_seed18004573831578832316/round_001/gazebo_world_state.log,9237490,/home/ianichinose/gazebo_ws/data/teb_pre_cone/pre_cone_e2e_trials_20260815_071632_seed18004573831578832316/round_001/gazebo_world_recording.json,90.0,101.991,2026-08-15T07:16:32+08:00,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260815_071632_seed18004573831578832316/round_001,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260815_071632_seed18004573831578832316/round_001/roslaunch.log
2,pre_cone_002_1786749506,daily,36,36,1,True,correct,False,False,,True,object_grasped,14,14,0,target cube grasped and lifted from seq36,complete,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260815_071632_seed18004573831578832316/round_002/cube_scene.json,complete,/home/ianichinose/gazebo_ws/data/teb_pre_cone/pre_cone_e2e_trials_20260815_071632_seed18004573831578832316/round_002/gazebo_world_state.log,11019199,/home/ianichinose/gazebo_ws/data/teb_pre_cone/pre_cone_e2e_trials_20260815_071632_seed18004573831578832316/round_002/gazebo_world_recording.json,90.0,112.337,2026-08-15T07:18:26+08:00,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260815_071632_seed18004573831578832316/round_002,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260815_071632_seed18004573831578832316/round_002/roslaunch.log
3,pre_cone_003_1786749630,electronics,35,35,2,True,correct,False,False,,True,object_grasped,14,14,0,target cube grasped and lifted from seq35,complete,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260815_071632_seed18004573831578832316/round_003/cube_scene.json,complete,/home/ianichinose/gazebo_ws/data/teb_pre_cone/pre_cone_e2e_trials_20260815_071632_seed18004573831578832316/round_003/gazebo_world_state.log,10253522,/home/ianichinose/gazebo_ws/data/teb_pre_cone/pre_cone_e2e_trials_20260815_071632_seed18004573831578832316/round_003/gazebo_world_recording.json,90.0,103.943,2026-08-15T07:20:30+08:00,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260815_071632_seed18004573831578832316/round_003,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260815_071632_seed18004573831578832316/round_003/roslaunch.log
4,pre_cone_004_1786749749,electronics,37,37,2,True,correct,False,False,,True,object_grasped,14,14,0,target cube grasped and lifted from seq37,complete,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260815_071632_seed18004573831578832316/round_004/cube_scene.json,complete,/home/ianichinose/gazebo_ws/data/teb_pre_cone/pre_cone_e2e_trials_20260815_071632_seed18004573831578832316/round_004/gazebo_world_state.log,12913317,/home/ianichinose/gazebo_ws/data/teb_pre_cone/pre_cone_e2e_trials_20260815_071632_seed18004573831578832316/round_004/gazebo_world_recording.json,90.0,123.594,2026-08-15T07:22:29+08:00,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260815_071632_seed18004573831578832316/round_004,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260815_071632_seed18004573831578832316/round_004/roslaunch.log
5,pre_cone_005_1786749887,electronics,35,35,2,True,correct,False,False,,True,object_grasped,14,14,0,target cube grasped and lifted from seq35,complete,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260815_071632_seed18004573831578832316/round_005/cube_scene.json,complete,/home/ianichinose/gazebo_ws/data/teb_pre_cone/pre_cone_e2e_trials_20260815_071632_seed18004573831578832316/round_005/gazebo_world_state.log,9907049,/home/ianichinose/gazebo_ws/data/teb_pre_cone/pre_cone_e2e_trials_20260815_071632_seed18004573831578832316/round_005/gazebo_world_recording.json,90.0,103.952,2026-08-15T07:24:47+08:00,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260815_071632_seed18004573831578832316/round_005,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260815_071632_seed18004573831578832316/round_005/roslaunch.log
6,pre_cone_006_1786750003,daily,37,37,1,True,correct,False,False,,True,object_grasped,14,14,0,target cube grasped and lifted from seq37,complete,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260815_071632_seed18004573831578832316/round_006/cube_scene.json,complete,/home/ianichinose/gazebo_ws/data/teb_pre_cone/pre_cone_e2e_trials_20260815_071632_seed18004573831578832316/round_006/gazebo_world_state.log,13563384,/home/ianichinose/gazebo_ws/data/teb_pre_cone/pre_cone_e2e_trials_20260815_071632_seed18004573831578832316/round_006/gazebo_world_recording.json,90.0,126.836,2026-08-15T07:26:43+08:00,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260815_071632_seed18004573831578832316/round_006,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260815_071632_seed18004573831578832316/round_006/roslaunch.log
7,pre_cone_007_1786750144,food,35,35,0,True,correct,False,False,,True,object_grasped,14,14,0,target cube grasped and lifted from seq35,complete,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260815_071632_seed18004573831578832316/round_007/cube_scene.json,complete,/home/ianichinose/gazebo_ws/data/teb_pre_cone/pre_cone_e2e_trials_20260815_071632_seed18004573831578832316/round_007/gazebo_world_state.log,9459811,/home/ianichinose/gazebo_ws/data/teb_pre_cone/pre_cone_e2e_trials_20260815_071632_seed18004573831578832316/round_007/gazebo_world_recording.json,90.0,98.889,2026-08-15T07:29:04+08:00,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260815_071632_seed18004573831578832316/round_007,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260815_071632_seed18004573831578832316/round_007/roslaunch.log
8,pre_cone_008_1786750255,daily,36,36,1,True,correct,False,False,,True,object_grasped,14,14,0,target cube grasped and lifted from seq36,complete,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260815_071632_seed18004573831578832316/round_008/cube_scene.json,complete,/home/ianichinose/gazebo_ws/data/teb_pre_cone/pre_cone_e2e_trials_20260815_071632_seed18004573831578832316/round_008/gazebo_world_state.log,11461427,/home/ianichinose/gazebo_ws/data/teb_pre_cone/pre_cone_e2e_trials_20260815_071632_seed18004573831578832316/round_008/gazebo_world_recording.json,90.0,110.221,2026-08-15T07:30:55+08:00,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260815_071632_seed18004573831578832316/round_008,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260815_071632_seed18004573831578832316/round_008/roslaunch.log
9,pre_cone_009_1786750380,electronics,35,35,2,True,correct,False,False,,True,object_grasped,14,14,0,target cube grasped and lifted from seq35,complete,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260815_071632_seed18004573831578832316/round_009/cube_scene.json,complete,/home/ianichinose/gazebo_ws/data/teb_pre_cone/pre_cone_e2e_trials_20260815_071632_seed18004573831578832316/round_009/gazebo_world_state.log,10590267,/home/ianichinose/gazebo_ws/data/teb_pre_cone/pre_cone_e2e_trials_20260815_071632_seed18004573831578832316/round_009/gazebo_world_recording.json,90.0,103.023,2026-08-15T07:33:00+08:00,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260815_071632_seed18004573831578832316/round_009,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260815_071632_seed18004573831578832316/round_009/roslaunch.log
10,pre_cone_010_1786750495,food,35,35,0,True,correct,False,False,,True,object_grasped,14,14,0,target cube grasped and lifted from seq35,complete,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260815_071632_seed18004573831578832316/round_010/cube_scene.json,complete,/home/ianichinose/gazebo_ws/data/teb_pre_cone/pre_cone_e2e_trials_20260815_071632_seed18004573831578832316/round_010/gazebo_world_state.log,9974304,/home/ianichinose/gazebo_ws/data/teb_pre_cone/pre_cone_e2e_trials_20260815_071632_seed18004573831578832316/round_010/gazebo_world_recording.json,90.0,107.559,2026-08-15T07:34:55+08:00,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260815_071632_seed18004573831578832316/round_010,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260815_071632_seed18004573831578832316/round_010/roslaunch.log
11,pre_cone_011_1786750614,food,36,36,0,True,correct,False,False,,True,object_grasped,14,14,0,target cube grasped and lifted from seq36,complete,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260815_071632_seed18004573831578832316/round_011/cube_scene.json,complete,/home/ianichinose/gazebo_ws/data/teb_pre_cone/pre_cone_e2e_trials_20260815_071632_seed18004573831578832316/round_011/gazebo_world_state.log,11618865,/home/ianichinose/gazebo_ws/data/teb_pre_cone/pre_cone_e2e_trials_20260815_071632_seed18004573831578832316/round_011/gazebo_world_recording.json,90.0,111.02,2026-08-15T07:36:54+08:00,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260815_071632_seed18004573831578832316/round_011,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260815_071632_seed18004573831578832316/round_011/roslaunch.log
