round,task_id,target_class,target_ground_truth_station,selected_station,observed_class_id,recognition_correct,recognition_status,recognition_failure,stuck,stuck_reason,success,status,completed_stage,last_operational_stage,error_code,message,cube_scene_status,cube_scene_file,gazebo_recording_status,gazebo_recording_path,gazebo_recording_size_bytes,gazebo_recording_manifest,performance_file,progress_timeout_seconds,duration_seconds,started_at,round_dir,log_file
47,pre_cone_047_1786824813,electronics,36,36,2,True,correct,False,False,,True,object_grasped,14,14,0,target cube grasped and lifted from seq36,complete,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260816_023051_seed10786202215795395888/round_047/cube_scene.json,complete,/home/ianichinose/gazebo_ws/data/teb_pre_cone/pre_cone_e2e_trials_20260816_023051_seed10786202215795395888/round_047/gazebo_world_state.log,11258354,/home/ianichinose/gazebo_ws/data/teb_pre_cone/pre_cone_e2e_trials_20260816_023051_seed10786202215795395888/round_047/gazebo_world_recording.json,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260816_023051_seed10786202215795395888/round_047/performance.json,90.0,128.606,2026-08-16T04:13:33+08:00,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260816_023051_seed10786202215795395888/round_047,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260816_023051_seed10786202215795395888/round_047/roslaunch.log
48,pre_cone_048_1786824959,daily,35,35,1,True,correct,False,False,,True,object_grasped,14,14,0,target cube grasped and lifted from seq35,complete,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260816_023051_seed10786202215795395888/round_048/cube_scene.json,complete,/home/ianichinose/gazebo_ws/data/teb_pre_cone/pre_cone_e2e_trials_20260816_023051_seed10786202215795395888/round_048/gazebo_world_state.log,10725687,/home/ianichinose/gazebo_ws/data/teb_pre_cone/pre_cone_e2e_trials_20260816_023051_seed10786202215795395888/round_048/gazebo_world_recording.json,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260816_023051_seed10786202215795395888/round_048/performance.json,90.0,108.527,2026-08-16T04:15:59+08:00,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260816_023051_seed10786202215795395888/round_048,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260816_023051_seed10786202215795395888/round_048/roslaunch.log
49,pre_cone_049_1786825081,daily,35,35,1,True,correct,False,False,,True,object_grasped,14,14,0,target cube grasped and lifted from seq35,complete,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260816_023051_seed10786202215795395888/round_049/cube_scene.json,complete,/home/ianichinose/gazebo_ws/data/teb_pre_cone/pre_cone_e2e_trials_20260816_023051_seed10786202215795395888/round_049/gazebo_world_state.log,10653555,/home/ianichinose/gazebo_ws/data/teb_pre_cone/pre_cone_e2e_trials_20260816_023051_seed10786202215795395888/round_049/gazebo_world_recording.json,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260816_023051_seed10786202215795395888/round_049/performance.json,90.0,117.956,2026-08-16T04:18:01+08:00,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260816_023051_seed10786202215795395888/round_049,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260816_023051_seed10786202215795395888/round_049/roslaunch.log
50,pre_cone_050_1786825217,food,35,35,0,True,correct,False,False,,True,object_grasped,14,14,0,target cube grasped and lifted from seq35,complete,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260816_023051_seed10786202215795395888/round_050/cube_scene.json,complete,/home/ianichinose/gazebo_ws/data/teb_pre_cone/pre_cone_e2e_trials_20260816_023051_seed10786202215795395888/round_050/gazebo_world_state.log,9646517,/home/ianichinose/gazebo_ws/data/teb_pre_cone/pre_cone_e2e_trials_20260816_023051_seed10786202215795395888/round_050/gazebo_world_recording.json,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260816_023051_seed10786202215795395888/round_050/performance.json,90.0,111.471,2026-08-16T04:20:17+08:00,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260816_023051_seed10786202215795395888/round_050,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260816_023051_seed10786202215795395888/round_050/roslaunch.log
51,pre_cone_051_1786825338,electronics,37,37,2,True,correct,False,False,,True,object_grasped,14,14,0,target cube grasped and lifted from seq37,complete,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260816_023051_seed10786202215795395888/round_051/cube_scene.json,complete,/home/ianichinose/gazebo_ws/data/teb_pre_cone/pre_cone_e2e_trials_20260816_023051_seed10786202215795395888/round_051/gazebo_world_state.log,12196899,/home/ianichinose/gazebo_ws/data/teb_pre_cone/pre_cone_e2e_trials_20260816_023051_seed10786202215795395888/round_051/gazebo_world_recording.json,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260816_023051_seed10786202215795395888/round_051/performance.json,90.0,127.28,2026-08-16T04:22:18+08:00,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260816_023051_seed10786202215795395888/round_051,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260816_023051_seed10786202215795395888/round_051/roslaunch.log
52,pre_cone_052_1786825483,food,37,37,0,True,correct,False,False,,True,object_grasped,14,14,0,target cube grasped and lifted from seq37,complete,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260816_023051_seed10786202215795395888/round_052/cube_scene.json,complete,/home/ianichinose/gazebo_ws/data/teb_pre_cone/pre_cone_e2e_trials_20260816_023051_seed10786202215795395888/round_052/gazebo_world_state.log,10689019,/home/ianichinose/gazebo_ws/data/teb_pre_cone/pre_cone_e2e_trials_20260816_023051_seed10786202215795395888/round_052/gazebo_world_recording.json,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260816_023051_seed10786202215795395888/round_052/performance.json,90.0,122.412,2026-08-16T04:24:43+08:00,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260816_023051_seed10786202215795395888/round_052,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260816_023051_seed10786202215795395888/round_052/roslaunch.log
53,pre_cone_053_1786825621,daily,35,35,1,True,correct,False,False,,True,object_grasped,14,14,0,target cube grasped and lifted from seq35,complete,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260816_023051_seed10786202215795395888/round_053/cube_scene.json,complete,/home/ianichinose/gazebo_ws/data/teb_pre_cone/pre_cone_e2e_trials_20260816_023051_seed10786202215795395888/round_053/gazebo_world_state.log,10769158,/home/ianichinose/gazebo_ws/data/teb_pre_cone/pre_cone_e2e_trials_20260816_023051_seed10786202215795395888/round_053/gazebo_world_recording.json,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260816_023051_seed10786202215795395888/round_053/performance.json,90.0,118.005,2026-08-16T04:27:01+08:00,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260816_023051_seed10786202215795395888/round_053,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260816_023051_seed10786202215795395888/round_053/roslaunch.log
54,pre_cone_054_1786825750,daily,35,35,1,True,correct,False,False,,True,object_grasped,14,14,0,target cube grasped and lifted from seq35,complete,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260816_023051_seed10786202215795395888/round_054/cube_scene.json,complete,/home/ianichinose/gazebo_ws/data/teb_pre_cone/pre_cone_e2e_trials_20260816_023051_seed10786202215795395888/round_054/gazebo_world_state.log,10093907,/home/ianichinose/gazebo_ws/data/teb_pre_cone/pre_cone_e2e_trials_20260816_023051_seed10786202215795395888/round_054/gazebo_world_recording.json,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260816_023051_seed10786202215795395888/round_054/performance.json,90.0,114.563,2026-08-16T04:29:10+08:00,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260816_023051_seed10786202215795395888/round_054,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260816_023051_seed10786202215795395888/round_054/roslaunch.log
55,pre_cone_055_1786825880,electronics,37,37,2,True,correct,False,False,,True,object_grasped,14,14,0,target cube grasped and lifted from seq37,complete,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260816_023051_seed10786202215795395888/round_055/cube_scene.json,complete,/home/ianichinose/gazebo_ws/data/teb_pre_cone/pre_cone_e2e_trials_20260816_023051_seed10786202215795395888/round_055/gazebo_world_state.log,13051408,/home/ianichinose/gazebo_ws/data/teb_pre_cone/pre_cone_e2e_trials_20260816_023051_seed10786202215795395888/round_055/gazebo_world_recording.json,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260816_023051_seed10786202215795395888/round_055/performance.json,90.0,147.44,2026-08-16T04:31:20+08:00,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260816_023051_seed10786202215795395888/round_055,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260816_023051_seed10786202215795395888/round_055/roslaunch.log
56,pre_cone_056_1786826045,electronics,35,35,2,True,correct,False,False,,True,object_grasped,14,14,0,target cube grasped and lifted from seq35,complete,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260816_023051_seed10786202215795395888/round_056/cube_scene.json,complete,/home/ianichinose/gazebo_ws/data/teb_pre_cone/pre_cone_e2e_trials_20260816_023051_seed10786202215795395888/round_056/gazebo_world_state.log,12762919,/home/ianichinose/gazebo_ws/data/teb_pre_cone/pre_cone_e2e_trials_20260816_023051_seed10786202215795395888/round_056/gazebo_world_recording.json,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260816_023051_seed10786202215795395888/round_056/performance.json,90.0,134.406,2026-08-16T04:34:05+08:00,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260816_023051_seed10786202215795395888/round_056,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260816_023051_seed10786202215795395888/round_056/roslaunch.log
