attempt,capture_slot,case_name,target_class,target_model,requested_x,requested_y,requested_yaw,status,ocr_success,classification_correct,valid_observations,object_translation_m,object_yaw_change_rad,object_moved,failure_reason,duration_seconds,log_file,summary_file
1,1,case_001,food,cube_0,-0.95,-0.653333333,-1.5708,captured,True,True,5,0.0,0.0,False,,65.377,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/logs/run_20260808_224842_seed950690/attempt_001/roslaunch.log,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/ocr_json/run_20260808_224842_seed950690/case_001/summary.json
2,2,case_002,food,cube_0,-0.95,-0.396666667,-1.5708,captured,True,True,5,0.0,0.0,False,,69.809,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/logs/run_20260808_224842_seed950690/attempt_002/roslaunch.log,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/ocr_json/run_20260808_224842_seed950690/case_002/summary.json
3,3,case_003,electronics,cube_2,-0.95,-0.47,-1.5708,captured,True,True,5,0.0,0.0,False,,69.231,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/logs/run_20260808_224842_seed950690/attempt_003/roslaunch.log,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/ocr_json/run_20260808_224842_seed950690/case_003/summary.json
4,4,case_004,food,cube_0,-0.95,-0.616666667,-1.5708,captured,True,True,5,0.0,0.0,False,,72.886,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/logs/run_20260808_224842_seed950690/attempt_004/roslaunch.log,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/ocr_json/run_20260808_224842_seed950690/case_004/summary.json
5,5,case_005,daily,cube_1,-0.95,-0.36,-1.5708,captured,True,True,5,0.0,0.0,False,,71.66,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/logs/run_20260808_224842_seed950690/attempt_005/roslaunch.log,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/ocr_json/run_20260808_224842_seed950690/case_005/summary.json
6,6,case_006,daily,cube_1,-0.95,-0.543333333,-1.5708,captured,True,True,5,0.0,0.0,False,,73.342,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/logs/run_20260808_224842_seed950690/attempt_006/roslaunch.log,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/ocr_json/run_20260808_224842_seed950690/case_006/summary.json
7,7,case_007,food,cube_0,-0.95,-0.58,-1.5708,captured,True,True,5,0.0,0.0,False,,71.724,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/logs/run_20260808_224842_seed950690/attempt_007/roslaunch.log,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/ocr_json/run_20260808_224842_seed950690/case_007/summary.json
8,8,case_008,electronics,cube_2,-0.95,-0.69,-1.5708,captured,True,True,5,0.0,0.0,False,,73.711,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/logs/run_20260808_224842_seed950690/attempt_008/roslaunch.log,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/ocr_json/run_20260808_224842_seed950690/case_008/summary.json
9,9,case_009,electronics,cube_2,-0.95,-0.433333333,-1.5708,captured,True,True,5,0.0,0.0,False,,69.844,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/logs/run_20260808_224842_seed950690/attempt_009/roslaunch.log,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/ocr_json/run_20260808_224842_seed950690/case_009/summary.json
10,10,case_010,daily,cube_1,-0.95,-0.506666667,-1.5708,captured,True,True,5,0.0,0.0,False,,72.613,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/logs/run_20260808_224842_seed950690/attempt_010/roslaunch.log,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/ocr_json/run_20260808_224842_seed950690/case_010/summary.json
