round,scenario_id,source_round,repetition,attempt,infrastructure_retry_count,task_id,target_class,success,status,completed_stage,error_code,message,last_operational_stage,last_operational_stage_name,preceding_navigation_failure,delivery_navigation_failure,cone_collision,collision_cones,direct_contact_cones,moved_or_tilted_cones,cone_monitor_status,contact_stream_status,gazebo_recording_status,gazebo_recording_path,gazebo_recording_size_bytes,gazebo_recording_manifest,move_base_goal_count,duration_seconds,started_at,round_dir,log_file,cone_monitor_file,stress_template_file,case_file,scene_measurement_file,navigation_parameter_file,adaptive_monitor_file,adaptive_monitor_status,adaptive_mode_event_count,adaptive_diagnostic_sample_count,adaptive_avoidance_entries,adaptive_avoidance_used,adaptive_avoidance_command_samples,adaptive_avoidance_failure_recovery_samples,adaptive_avoidance_infeasible_samples,adaptive_baseline_fallback_events,adaptive_baseline_fallback_samples,adaptive_baseline_infeasible_samples,adaptive_both_planners_infeasible_samples,adaptive_minimum_plan_clearance_m
1,channel_failure_round_004,4,1,1,0,fixed_cone_e2e_001_a01_1786960754,food,True,task_completed,20,0,target cube delivered to food workshop and released,20,TASK_COMPLETED,False,False,False,,,,complete,stopped,complete,/home/ianichinose/gazebo_ws/data/cone_zone/end_to_end_stress/fixed_cone_e2e_stress_20260817_175913_avoidfp_0p12/round_001/gazebo_world_state.log,7718169,/home/ianichinose/gazebo_ws/data/cone_zone/end_to_end_stress/fixed_cone_e2e_stress_20260817_175913_avoidfp_0p12/round_001/gazebo_world_recording.json,39,209.611,2026-08-17T17:59:14+08:00,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260817_175913_avoidfp_0p12/round_001,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260817_175913_avoidfp_0p12/round_001/roslaunch.log,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260817_175913_avoidfp_0p12/round_001/cone_trial.json,,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260817_175913_avoidfp_0p12/round_001/case_plan.json,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260817_175913_avoidfp_0p12/round_001/scene_measured.json,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260817_175913_avoidfp_0p12/round_001/navigation_parameters.json,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260817_175913_avoidfp_0p12/round_001/adaptive_teb_diagnostics.json,complete,41,113,6,True,15,0,0,0,0,0,0,0.184601
2,channel_failure_round_009,9,1,1,0,fixed_cone_e2e_002_a01_1786960971,daily,True,task_completed,20,0,target cube delivered to daily workshop and released,20,TASK_COMPLETED,False,False,False,,,,complete,stopped,complete,/home/ianichinose/gazebo_ws/data/cone_zone/end_to_end_stress/fixed_cone_e2e_stress_20260817_175913_avoidfp_0p12/round_002/gazebo_world_state.log,6735949,/home/ianichinose/gazebo_ws/data/cone_zone/end_to_end_stress/fixed_cone_e2e_stress_20260817_175913_avoidfp_0p12/round_002/gazebo_world_recording.json,37,228.199,2026-08-17T18:02:51+08:00,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260817_175913_avoidfp_0p12/round_002,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260817_175913_avoidfp_0p12/round_002/roslaunch.log,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260817_175913_avoidfp_0p12/round_002/cone_trial.json,,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260817_175913_avoidfp_0p12/round_002/case_plan.json,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260817_175913_avoidfp_0p12/round_002/scene_measured.json,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260817_175913_avoidfp_0p12/round_002/navigation_parameters.json,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260817_175913_avoidfp_0p12/round_002/adaptive_teb_diagnostics.json,complete,39,136,3,True,12,0,0,0,0,0,0,0.162595
3,channel_failure_round_016,16,1,1,0,fixed_cone_e2e_003_a01_1786961208,daily,False,task_failed,250,5,"laser sees a tight delivery corridor (reference clearance 0.180 m at s=0.242 m), but no channel waypoint reaches 0.200 m hard clearance; candidates=13 onward_rejected=0 onward_no_plan=0 no_plan=0 planned_clearance_rejected=0 sector_rejected=13 excluded_rejected=0 best_plan=[none] best_onward=[none]",16,NAVIGATE_TO_DELIVERY,False,True,False,,,,complete,stopped,complete,/home/ianichinose/gazebo_ws/data/cone_zone/end_to_end_stress/fixed_cone_e2e_stress_20260817_175913_avoidfp_0p12/round_003/gazebo_world_state.log,5840694,/home/ianichinose/gazebo_ws/data/cone_zone/end_to_end_stress/fixed_cone_e2e_stress_20260817_175913_avoidfp_0p12/round_003/gazebo_world_recording.json,37,211.171,2026-08-17T18:06:48+08:00,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260817_175913_avoidfp_0p12/round_003,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260817_175913_avoidfp_0p12/round_003/roslaunch.log,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260817_175913_avoidfp_0p12/round_003/cone_trial.json,,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260817_175913_avoidfp_0p12/round_003/case_plan.json,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260817_175913_avoidfp_0p12/round_003/scene_measured.json,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260817_175913_avoidfp_0p12/round_003/navigation_parameters.json,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260817_175913_avoidfp_0p12/round_003/adaptive_teb_diagnostics.json,complete,41,98,4,True,15,0,1,0,0,1,0,0.192333
4,channel_failure_round_021,21,1,1,0,fixed_cone_e2e_004_a01_1786961425,daily,False,task_failed,250,5,"laser sees a tight delivery corridor (reference clearance 0.000 m at s=0.409 m), but no channel waypoint reaches 0.200 m hard clearance; candidates=52 onward_rejected=0 onward_no_plan=0 no_plan=0 planned_clearance_rejected=17 sector_rejected=35 excluded_rejected=0 best_plan=[clearance=0.184,forward=0.95,lateral=-0.32,bottleneck_s=0.976,start=0.393,recovery=0.184] best_onward=[none]",16,NAVIGATE_TO_DELIVERY,False,True,False,,,,complete,stopped,complete,/home/ianichinose/gazebo_ws/data/cone_zone/end_to_end_stress/fixed_cone_e2e_stress_20260817_175913_avoidfp_0p12/round_004/gazebo_world_state.log,4444353,/home/ianichinose/gazebo_ws/data/cone_zone/end_to_end_stress/fixed_cone_e2e_stress_20260817_175913_avoidfp_0p12/round_004/gazebo_world_recording.json,34,169.414,2026-08-17T18:10:25+08:00,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260817_175913_avoidfp_0p12/round_004,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260817_175913_avoidfp_0p12/round_004/roslaunch.log,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260817_175913_avoidfp_0p12/round_004/cone_trial.json,,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260817_175913_avoidfp_0p12/round_004/case_plan.json,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260817_175913_avoidfp_0p12/round_004/scene_measured.json,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260817_175913_avoidfp_0p12/round_004/navigation_parameters.json,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260817_175913_avoidfp_0p12/round_004/adaptive_teb_diagnostics.json,complete,38,77,2,True,4,0,0,0,0,0,0,0.197791
