round,scenario_id,source_round,repetition,attempt,infrastructure_retry_count,task_id,target_class,success,status,completed_stage,error_code,message,last_operational_stage,last_operational_stage_name,preceding_navigation_failure,delivery_navigation_failure,cone_collision,collision_cones,direct_contact_cones,moved_or_tilted_cones,cone_monitor_status,contact_stream_status,gazebo_recording_status,gazebo_recording_path,gazebo_recording_size_bytes,gazebo_recording_manifest,move_base_goal_count,duration_seconds,started_at,round_dir,log_file,cone_monitor_file,stress_template_file,case_file,scene_measurement_file,navigation_parameter_file,adaptive_monitor_file,adaptive_monitor_status,adaptive_mode_event_count,adaptive_diagnostic_sample_count,adaptive_avoidance_entries,adaptive_avoidance_used,adaptive_avoidance_command_samples,adaptive_avoidance_failure_recovery_samples,adaptive_avoidance_infeasible_samples,adaptive_baseline_fallback_events,adaptive_baseline_fallback_samples,adaptive_baseline_infeasible_samples,adaptive_both_planners_infeasible_samples,adaptive_minimum_plan_clearance_m
1,collision_round_011,11,1,1,0,fixed_cone_e2e_001_a01_1787409239,daily,True,task_completed,20,0,target cube delivered to daily workshop and released,20,TASK_COMPLETED,False,False,False,,,,complete,stopped,complete,/home/ianzhang/gazebo_ws/data/cone_zone/end_to_end_stress/failed_scenes_20260822_160246_stress_20260822_223359/round_001/gazebo_world_state.log,6001807,/home/ianzhang/gazebo_ws/data/cone_zone/end_to_end_stress/failed_scenes_20260822_160246_stress_20260822_223359/round_001/gazebo_world_recording.json,15,114.585,2026-08-22T22:33:59+08:00,/home/ianzhang/gazebo_ws/script/logs/failed_scenes_20260822_160246_stress_20260822_223359/round_001,/home/ianzhang/gazebo_ws/script/logs/failed_scenes_20260822_160246_stress_20260822_223359/round_001/roslaunch.log,/home/ianzhang/gazebo_ws/script/logs/failed_scenes_20260822_160246_stress_20260822_223359/round_001/cone_trial.json,,/home/ianzhang/gazebo_ws/script/logs/failed_scenes_20260822_160246_stress_20260822_223359/round_001/case_plan.json,/home/ianzhang/gazebo_ws/script/logs/failed_scenes_20260822_160246_stress_20260822_223359/round_001/scene_measured.json,/home/ianzhang/gazebo_ws/script/logs/failed_scenes_20260822_160246_stress_20260822_223359/round_001/navigation_parameters.json,/home/ianzhang/gazebo_ws/script/logs/failed_scenes_20260822_160246_stress_20260822_223359/round_001/adaptive_teb_diagnostics.json,complete,19,72,2,True,21,0,0,0,0,2,0,0.169792
2,collision_round_024,24,1,1,0,fixed_cone_e2e_002_a01_1787409357,electronics,True,task_completed,20,0,target cube delivered to electronics workshop and released,20,TASK_COMPLETED,False,False,False,,,,complete,stopped,complete,/home/ianzhang/gazebo_ws/data/cone_zone/end_to_end_stress/failed_scenes_20260822_160246_stress_20260822_223359/round_002/gazebo_world_state.log,12000351,/home/ianzhang/gazebo_ws/data/cone_zone/end_to_end_stress/failed_scenes_20260822_160246_stress_20260822_223359/round_002/gazebo_world_recording.json,16,149.375,2026-08-22T22:35:57+08:00,/home/ianzhang/gazebo_ws/script/logs/failed_scenes_20260822_160246_stress_20260822_223359/round_002,/home/ianzhang/gazebo_ws/script/logs/failed_scenes_20260822_160246_stress_20260822_223359/round_002/roslaunch.log,/home/ianzhang/gazebo_ws/script/logs/failed_scenes_20260822_160246_stress_20260822_223359/round_002/cone_trial.json,,/home/ianzhang/gazebo_ws/script/logs/failed_scenes_20260822_160246_stress_20260822_223359/round_002/case_plan.json,/home/ianzhang/gazebo_ws/script/logs/failed_scenes_20260822_160246_stress_20260822_223359/round_002/scene_measured.json,/home/ianzhang/gazebo_ws/script/logs/failed_scenes_20260822_160246_stress_20260822_223359/round_002/navigation_parameters.json,/home/ianzhang/gazebo_ws/script/logs/failed_scenes_20260822_160246_stress_20260822_223359/round_002/adaptive_teb_diagnostics.json,complete,21,125,2,True,64,0,2,0,0,2,0,0.16841
3,collision_round_037,37,1,1,0,fixed_cone_e2e_003_a01_1787409509,food,True,task_completed,20,0,target cube delivered to food workshop and released,20,TASK_COMPLETED,False,False,False,,,,complete,stopped,complete,/home/ianzhang/gazebo_ws/data/cone_zone/end_to_end_stress/failed_scenes_20260822_160246_stress_20260822_223359/round_003/gazebo_world_state.log,17100487,/home/ianzhang/gazebo_ws/data/cone_zone/end_to_end_stress/failed_scenes_20260822_160246_stress_20260822_223359/round_003/gazebo_world_recording.json,16,179.677,2026-08-22T22:38:29+08:00,/home/ianzhang/gazebo_ws/script/logs/failed_scenes_20260822_160246_stress_20260822_223359/round_003,/home/ianzhang/gazebo_ws/script/logs/failed_scenes_20260822_160246_stress_20260822_223359/round_003/roslaunch.log,/home/ianzhang/gazebo_ws/script/logs/failed_scenes_20260822_160246_stress_20260822_223359/round_003/cone_trial.json,,/home/ianzhang/gazebo_ws/script/logs/failed_scenes_20260822_160246_stress_20260822_223359/round_003/case_plan.json,/home/ianzhang/gazebo_ws/script/logs/failed_scenes_20260822_160246_stress_20260822_223359/round_003/scene_measured.json,/home/ianzhang/gazebo_ws/script/logs/failed_scenes_20260822_160246_stress_20260822_223359/round_003/navigation_parameters.json,/home/ianzhang/gazebo_ws/script/logs/failed_scenes_20260822_160246_stress_20260822_223359/round_003/adaptive_teb_diagnostics.json,complete,20,163,2,True,94,0,10,0,0,3,0,0.179038
4,failure_round_041_preceding_navigation_failure,41,1,1,0,fixed_cone_e2e_004_a01_1787409692,food,True,task_completed,20,0,target cube delivered to food workshop and released,20,TASK_COMPLETED,False,False,False,,,,complete,stopped,complete,/home/ianzhang/gazebo_ws/data/cone_zone/end_to_end_stress/failed_scenes_20260822_160246_stress_20260822_223359/round_004/gazebo_world_state.log,7462122,/home/ianzhang/gazebo_ws/data/cone_zone/end_to_end_stress/failed_scenes_20260822_160246_stress_20260822_223359/round_004/gazebo_world_recording.json,15,127.543,2026-08-22T22:41:32+08:00,/home/ianzhang/gazebo_ws/script/logs/failed_scenes_20260822_160246_stress_20260822_223359/round_004,/home/ianzhang/gazebo_ws/script/logs/failed_scenes_20260822_160246_stress_20260822_223359/round_004/roslaunch.log,/home/ianzhang/gazebo_ws/script/logs/failed_scenes_20260822_160246_stress_20260822_223359/round_004/cone_trial.json,,/home/ianzhang/gazebo_ws/script/logs/failed_scenes_20260822_160246_stress_20260822_223359/round_004/case_plan.json,/home/ianzhang/gazebo_ws/script/logs/failed_scenes_20260822_160246_stress_20260822_223359/round_004/scene_measured.json,/home/ianzhang/gazebo_ws/script/logs/failed_scenes_20260822_160246_stress_20260822_223359/round_004/navigation_parameters.json,/home/ianzhang/gazebo_ws/script/logs/failed_scenes_20260822_160246_stress_20260822_223359/round_004/adaptive_teb_diagnostics.json,complete,19,86,2,True,31,0,1,0,0,0,0,0.167292
