round,scenario_id,source_round,repetition,attempt,infrastructure_retry_count,task_id,target_class,success,status,completed_stage,error_code,message,last_operational_stage,last_operational_stage_name,preceding_navigation_failure,delivery_navigation_failure,cone_collision,collision_cones,direct_contact_cones,moved_or_tilted_cones,cone_monitor_status,contact_stream_status,gazebo_recording_status,gazebo_recording_path,gazebo_recording_size_bytes,gazebo_recording_manifest,move_base_goal_count,duration_seconds,started_at,round_dir,log_file,cone_monitor_file,stress_template_file,case_file,scene_measurement_file,navigation_parameter_file,adaptive_monitor_file,adaptive_monitor_status,adaptive_mode_event_count,adaptive_diagnostic_sample_count,adaptive_avoidance_entries,adaptive_avoidance_used,adaptive_avoidance_command_samples,adaptive_avoidance_failure_recovery_samples,adaptive_avoidance_infeasible_samples,adaptive_baseline_fallback_events,adaptive_baseline_fallback_samples,adaptive_baseline_infeasible_samples,adaptive_both_planners_infeasible_samples,adaptive_minimum_plan_clearance_m
1,collision_round_004,4,1,1,0,fixed_cone_e2e_001_a01_1787332812,electronics,True,task_completed,20,0,target cube delivered to electronics workshop and released,20,TASK_COMPLETED,False,False,False,,,,complete,stopped,complete,/home/ianzhang/gazebo_ws/data/cone_zone/end_to_end_stress/fixed_cone_e2e_stress_20260822_012012_round004_cone15_electronics/round_001/gazebo_world_state.log,5823173,/home/ianzhang/gazebo_ws/data/cone_zone/end_to_end_stress/fixed_cone_e2e_stress_20260822_012012_round004_cone15_electronics/round_001/gazebo_world_recording.json,16,117.123,2026-08-22T01:20:12+08:00,/home/ianzhang/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260822_012012_round004_cone15_electronics/round_001,/home/ianzhang/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260822_012012_round004_cone15_electronics/round_001/roslaunch.log,/home/ianzhang/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260822_012012_round004_cone15_electronics/round_001/cone_trial.json,,/home/ianzhang/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260822_012012_round004_cone15_electronics/round_001/case_plan.json,/home/ianzhang/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260822_012012_round004_cone15_electronics/round_001/scene_measured.json,/home/ianzhang/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260822_012012_round004_cone15_electronics/round_001/navigation_parameters.json,/home/ianzhang/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260822_012012_round004_cone15_electronics/round_001/adaptive_teb_diagnostics.json,complete,21,73,2,True,17,0,0,0,0,0,0,0.169738
2,collision_round_004,4,2,1,0,fixed_cone_e2e_002_a01_1787332932,electronics,True,task_completed,20,0,target cube delivered to electronics workshop and released,20,TASK_COMPLETED,False,False,False,,,,complete,stopped,complete,/home/ianzhang/gazebo_ws/data/cone_zone/end_to_end_stress/fixed_cone_e2e_stress_20260822_012012_round004_cone15_electronics/round_002/gazebo_world_state.log,6388436,/home/ianzhang/gazebo_ws/data/cone_zone/end_to_end_stress/fixed_cone_e2e_stress_20260822_012012_round004_cone15_electronics/round_002/gazebo_world_recording.json,16,121.818,2026-08-22T01:22:12+08:00,/home/ianzhang/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260822_012012_round004_cone15_electronics/round_002,/home/ianzhang/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260822_012012_round004_cone15_electronics/round_002/roslaunch.log,/home/ianzhang/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260822_012012_round004_cone15_electronics/round_002/cone_trial.json,,/home/ianzhang/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260822_012012_round004_cone15_electronics/round_002/case_plan.json,/home/ianzhang/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260822_012012_round004_cone15_electronics/round_002/scene_measured.json,/home/ianzhang/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260822_012012_round004_cone15_electronics/round_002/navigation_parameters.json,/home/ianzhang/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260822_012012_round004_cone15_electronics/round_002/adaptive_teb_diagnostics.json,complete,20,78,2,True,18,0,0,0,0,2,0,0.171118
3,collision_round_004,4,3,1,0,fixed_cone_e2e_003_a01_1787333057,electronics,True,task_completed,20,0,target cube delivered to electronics workshop and released,20,TASK_COMPLETED,False,False,False,,,,complete,stopped,complete,/home/ianzhang/gazebo_ws/data/cone_zone/end_to_end_stress/fixed_cone_e2e_stress_20260822_012012_round004_cone15_electronics/round_003/gazebo_world_state.log,6516497,/home/ianzhang/gazebo_ws/data/cone_zone/end_to_end_stress/fixed_cone_e2e_stress_20260822_012012_round004_cone15_electronics/round_003/gazebo_world_recording.json,15,120.599,2026-08-22T01:24:17+08:00,/home/ianzhang/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260822_012012_round004_cone15_electronics/round_003,/home/ianzhang/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260822_012012_round004_cone15_electronics/round_003/roslaunch.log,/home/ianzhang/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260822_012012_round004_cone15_electronics/round_003/cone_trial.json,,/home/ianzhang/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260822_012012_round004_cone15_electronics/round_003/case_plan.json,/home/ianzhang/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260822_012012_round004_cone15_electronics/round_003/scene_measured.json,/home/ianzhang/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260822_012012_round004_cone15_electronics/round_003/navigation_parameters.json,/home/ianzhang/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260822_012012_round004_cone15_electronics/round_003/adaptive_teb_diagnostics.json,complete,20,78,2,True,26,0,0,0,0,0,0,0.171053
4,collision_round_004,4,4,1,0,fixed_cone_e2e_004_a01_1787333181,electronics,True,task_completed,20,0,target cube delivered to electronics workshop and released,20,TASK_COMPLETED,False,False,False,,,,complete,stopped,complete,/home/ianzhang/gazebo_ws/data/cone_zone/end_to_end_stress/fixed_cone_e2e_stress_20260822_012012_round004_cone15_electronics/round_004/gazebo_world_state.log,6985164,/home/ianzhang/gazebo_ws/data/cone_zone/end_to_end_stress/fixed_cone_e2e_stress_20260822_012012_round004_cone15_electronics/round_004/gazebo_world_recording.json,16,133.551,2026-08-22T01:26:21+08:00,/home/ianzhang/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260822_012012_round004_cone15_electronics/round_004,/home/ianzhang/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260822_012012_round004_cone15_electronics/round_004/roslaunch.log,/home/ianzhang/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260822_012012_round004_cone15_electronics/round_004/cone_trial.json,,/home/ianzhang/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260822_012012_round004_cone15_electronics/round_004/case_plan.json,/home/ianzhang/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260822_012012_round004_cone15_electronics/round_004/scene_measured.json,/home/ianzhang/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260822_012012_round004_cone15_electronics/round_004/navigation_parameters.json,/home/ianzhang/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260822_012012_round004_cone15_electronics/round_004/adaptive_teb_diagnostics.json,complete,21,85,2,True,20,0,0,0,0,0,0,0.171116
5,collision_round_004,4,5,1,0,fixed_cone_e2e_005_a01_1787333317,electronics,True,task_completed,20,0,target cube delivered to electronics workshop and released,20,TASK_COMPLETED,False,False,False,,,,complete,stopped,complete,/home/ianzhang/gazebo_ws/data/cone_zone/end_to_end_stress/fixed_cone_e2e_stress_20260822_012012_round004_cone15_electronics/round_005/gazebo_world_state.log,9316019,/home/ianzhang/gazebo_ws/data/cone_zone/end_to_end_stress/fixed_cone_e2e_stress_20260822_012012_round004_cone15_electronics/round_005/gazebo_world_recording.json,15,142.703,2026-08-22T01:28:37+08:00,/home/ianzhang/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260822_012012_round004_cone15_electronics/round_005,/home/ianzhang/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260822_012012_round004_cone15_electronics/round_005/roslaunch.log,/home/ianzhang/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260822_012012_round004_cone15_electronics/round_005/cone_trial.json,,/home/ianzhang/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260822_012012_round004_cone15_electronics/round_005/case_plan.json,/home/ianzhang/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260822_012012_round004_cone15_electronics/round_005/scene_measured.json,/home/ianzhang/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260822_012012_round004_cone15_electronics/round_005/navigation_parameters.json,/home/ianzhang/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260822_012012_round004_cone15_electronics/round_005/adaptive_teb_diagnostics.json,complete,19,113,2,True,20,0,0,0,0,2,0,0.173246
