attempt,capture_slot,case_name,target_class,target_model,requested_x,requested_y,requested_yaw,status,ocr_success,classification_correct,valid_observations,failure_reason,duration_seconds,log_file,summary_file
1,1,case_001,food,cube_0,-0.943958648,-0.634771999,-1.5708,captured,True,True,5,,69.505,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/logs/run_20260808_220848_seed550035/attempt_001/roslaunch.log,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/ocr_json/run_20260808_220848_seed550035/case_001/summary.json
2,2,case_002,electronics,cube_2,-0.942008075,-0.648883117,-1.5708,captured,True,True,5,,72.417,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/logs/run_20260808_220848_seed550035/attempt_002/roslaunch.log,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/ocr_json/run_20260808_220848_seed550035/case_002/summary.json
3,3,case_003,food,cube_0,-0.935613479,-0.65943668,-1.5708,captured,True,True,5,,73.823,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/logs/run_20260808_220848_seed550035/attempt_003/roslaunch.log,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/ocr_json/run_20260808_220848_seed550035/case_003/summary.json
4,4,case_004,food,cube_0,-0.941350811,-0.680866894,-1.5708,captured,True,True,5,,74.841,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/logs/run_20260808_220848_seed550035/attempt_004/roslaunch.log,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/ocr_json/run_20260808_220848_seed550035/case_004/summary.json
5,5,case_005,daily,cube_1,-0.945883302,-0.677865173,-1.5708,captured,True,True,5,,72.643,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/logs/run_20260808_220848_seed550035/attempt_005/roslaunch.log,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/ocr_json/run_20260808_220848_seed550035/case_005/summary.json
6,6,case_006,electronics,cube_2,-0.923323316,-0.633659761,-1.5708,captured,True,True,5,,73.241,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/logs/run_20260808_220848_seed550035/attempt_006/roslaunch.log,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/ocr_json/run_20260808_220848_seed550035/case_006/summary.json
7,7,case_007,food,cube_0,-0.938243526,-0.637401485,-1.5708,captured,True,True,5,,73.065,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/logs/run_20260808_220848_seed550035/attempt_007/roslaunch.log,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/ocr_json/run_20260808_220848_seed550035/case_007/summary.json
8,8,case_008,daily,cube_1,-0.923279354,-0.669242992,-1.5708,captured,True,True,5,,73.095,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/logs/run_20260808_220848_seed550035/attempt_008/roslaunch.log,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/ocr_json/run_20260808_220848_seed550035/case_008/summary.json
9,9,case_009,daily,cube_1,-0.92859257,-0.663313224,-1.5708,captured,True,True,5,,74.535,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/logs/run_20260808_220848_seed550035/attempt_009/roslaunch.log,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/ocr_json/run_20260808_220848_seed550035/case_009/summary.json
10,10,case_010,daily,cube_1,-0.942252278,-0.636250163,-1.5708,captured,True,True,5,,74.218,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/logs/run_20260808_220848_seed550035/attempt_010/roslaunch.log,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/ocr_json/run_20260808_220848_seed550035/case_010/summary.json
