attempt,capture_slot,case_name,target_class,target_model,requested_x,requested_y,requested_yaw,status,ocr_success,classification_correct,valid_observations,failure_reason,duration_seconds,log_file,summary_file
11,11,case_011,daily,cube_1,-0.938729699,-0.680019074,-1.5708,captured,True,True,5,,75.284,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/logs/run_20260808_220848_seed550035/attempt_011/roslaunch.log,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/ocr_json/run_20260808_220848_seed550035/case_011/summary.json
12,12,case_012,food,cube_0,-0.936012868,-0.679992764,-1.5708,captured,True,True,5,,73.639,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/logs/run_20260808_220848_seed550035/attempt_012/roslaunch.log,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/ocr_json/run_20260808_220848_seed550035/case_012/summary.json
13,13,case_013,electronics,cube_2,-0.941173138,-0.64004478,-1.5708,captured,True,True,5,,72.525,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/logs/run_20260808_220848_seed550035/attempt_013/roslaunch.log,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/ocr_json/run_20260808_220848_seed550035/case_013/summary.json
14,14,case_014,electronics,cube_2,-0.942490615,-0.635928466,-1.5708,captured,True,True,5,,74.62,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/logs/run_20260808_220848_seed550035/attempt_014/roslaunch.log,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/ocr_json/run_20260808_220848_seed550035/case_014/summary.json
15,15,case_015,food,cube_0,-0.935879871,-0.671748287,-1.5708,captured,True,True,5,,71.995,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/logs/run_20260808_220848_seed550035/attempt_015/roslaunch.log,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/ocr_json/run_20260808_220848_seed550035/case_015/summary.json
16,16,case_016,electronics,cube_2,-0.932906735,-0.64081687,-1.5708,captured,True,True,5,,72.749,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/logs/run_20260808_220848_seed550035/attempt_016/roslaunch.log,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/ocr_json/run_20260808_220848_seed550035/case_016/summary.json
17,17,case_017,electronics,cube_2,-0.924594314,-0.643286874,-1.5708,captured,True,True,5,,72.098,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/logs/run_20260808_220848_seed550035/attempt_017/roslaunch.log,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/ocr_json/run_20260808_220848_seed550035/case_017/summary.json
18,18,case_018,electronics,cube_2,-0.935830676,-0.663492704,-1.5708,captured,True,True,5,,70.802,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/logs/run_20260808_220848_seed550035/attempt_018/roslaunch.log,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/ocr_json/run_20260808_220848_seed550035/case_018/summary.json
19,19,case_019,food,cube_0,-0.928639269,-0.642578419,-1.5708,captured,True,True,5,,71.48,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/logs/run_20260808_220848_seed550035/attempt_019/roslaunch.log,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/ocr_json/run_20260808_220848_seed550035/case_019/summary.json
20,20,case_020,daily,cube_1,-0.942143307,-0.643878923,-1.5708,captured,True,True,5,,70.704,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/logs/run_20260808_220848_seed550035/attempt_020/roslaunch.log,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/ocr_json/run_20260808_220848_seed550035/case_020/summary.json
