round,task_id,target_class,target_ground_truth_station,selected_station,observed_class_id,recognition_correct,recognition_status,recognition_failure,stuck,stuck_reason,success,status,completed_stage,last_operational_stage,error_code,message,cube_scene_status,cube_scene_file,gazebo_recording_status,gazebo_recording_path,gazebo_recording_size_bytes,gazebo_recording_manifest,progress_timeout_seconds,duration_seconds,started_at,round_dir,log_file
1,pre_cone_001_1786792067,electronics,36,36,2,True,correct,False,False,,True,object_grasped,14,14,0,target cube grasped and lifted from seq36,complete,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260815_190747_seed11950031595067970/round_001/cube_scene.json,complete,/home/ianichinose/gazebo_ws/data/teb_pre_cone/pre_cone_e2e_trials_20260815_190747_seed11950031595067970/round_001/gazebo_world_state.log,11228315,/home/ianichinose/gazebo_ws/data/teb_pre_cone/pre_cone_e2e_trials_20260815_190747_seed11950031595067970/round_001/gazebo_world_recording.json,90.0,123.936,2026-08-15T19:07:47+08:00,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260815_190747_seed11950031595067970/round_001,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260815_190747_seed11950031595067970/round_001/roslaunch.log
2,pre_cone_002_1786792205,food,37,37,0,True,correct,False,False,,True,object_grasped,14,14,0,target cube grasped and lifted from seq37,complete,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260815_190747_seed11950031595067970/round_002/cube_scene.json,complete,/home/ianichinose/gazebo_ws/data/teb_pre_cone/pre_cone_e2e_trials_20260815_190747_seed11950031595067970/round_002/gazebo_world_state.log,13075448,/home/ianichinose/gazebo_ws/data/teb_pre_cone/pre_cone_e2e_trials_20260815_190747_seed11950031595067970/round_002/gazebo_world_recording.json,90.0,144.736,2026-08-15T19:10:05+08:00,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260815_190747_seed11950031595067970/round_002,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260815_190747_seed11950031595067970/round_002/roslaunch.log
3,pre_cone_003_1786792365,electronics,35,35,2,True,correct,False,False,,True,object_grasped,14,14,0,target cube grasped and lifted from seq35,complete,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260815_190747_seed11950031595067970/round_003/cube_scene.json,complete,/home/ianichinose/gazebo_ws/data/teb_pre_cone/pre_cone_e2e_trials_20260815_190747_seed11950031595067970/round_003/gazebo_world_state.log,8462125,/home/ianichinose/gazebo_ws/data/teb_pre_cone/pre_cone_e2e_trials_20260815_190747_seed11950031595067970/round_003/gazebo_world_recording.json,90.0,115.035,2026-08-15T19:12:45+08:00,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260815_190747_seed11950031595067970/round_003,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260815_190747_seed11950031595067970/round_003/roslaunch.log
4,pre_cone_004_1786792495,electronics,35,35,2,True,correct,False,False,,True,object_grasped,14,14,0,target cube grasped and lifted from seq35,complete,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260815_190747_seed11950031595067970/round_004/cube_scene.json,complete,/home/ianichinose/gazebo_ws/data/teb_pre_cone/pre_cone_e2e_trials_20260815_190747_seed11950031595067970/round_004/gazebo_world_state.log,8673681,/home/ianichinose/gazebo_ws/data/teb_pre_cone/pre_cone_e2e_trials_20260815_190747_seed11950031595067970/round_004/gazebo_world_recording.json,90.0,113.945,2026-08-15T19:14:55+08:00,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260815_190747_seed11950031595067970/round_004,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260815_190747_seed11950031595067970/round_004/roslaunch.log
5,pre_cone_005_1786792623,daily,35,35,1,True,correct,False,False,,True,object_grasped,14,14,0,target cube grasped and lifted from seq35,complete,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260815_190747_seed11950031595067970/round_005/cube_scene.json,complete,/home/ianichinose/gazebo_ws/data/teb_pre_cone/pre_cone_e2e_trials_20260815_190747_seed11950031595067970/round_005/gazebo_world_state.log,8850497,/home/ianichinose/gazebo_ws/data/teb_pre_cone/pre_cone_e2e_trials_20260815_190747_seed11950031595067970/round_005/gazebo_world_recording.json,90.0,114.678,2026-08-15T19:17:03+08:00,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260815_190747_seed11950031595067970/round_005,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260815_190747_seed11950031595067970/round_005/roslaunch.log
6,pre_cone_006_1786792750,food,35,35,0,True,correct,False,False,,True,object_grasped,14,14,0,target cube grasped and lifted from seq35,complete,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260815_190747_seed11950031595067970/round_006/cube_scene.json,complete,/home/ianichinose/gazebo_ws/data/teb_pre_cone/pre_cone_e2e_trials_20260815_190747_seed11950031595067970/round_006/gazebo_world_state.log,8353685,/home/ianichinose/gazebo_ws/data/teb_pre_cone/pre_cone_e2e_trials_20260815_190747_seed11950031595067970/round_006/gazebo_world_recording.json,90.0,115.228,2026-08-15T19:19:10+08:00,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260815_190747_seed11950031595067970/round_006,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260815_190747_seed11950031595067970/round_006/roslaunch.log
7,pre_cone_007_1786792880,daily,37,37,1,True,correct,False,False,,True,object_grasped,14,14,0,target cube grasped and lifted from seq37,complete,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260815_190747_seed11950031595067970/round_007/cube_scene.json,complete,/home/ianichinose/gazebo_ws/data/teb_pre_cone/pre_cone_e2e_trials_20260815_190747_seed11950031595067970/round_007/gazebo_world_state.log,12401071,/home/ianichinose/gazebo_ws/data/teb_pre_cone/pre_cone_e2e_trials_20260815_190747_seed11950031595067970/round_007/gazebo_world_recording.json,90.0,147.166,2026-08-15T19:21:20+08:00,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260815_190747_seed11950031595067970/round_007,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260815_190747_seed11950031595067970/round_007/roslaunch.log
8,pre_cone_008_1786793045,daily,36,36,1,True,correct,False,False,,True,object_grasped,14,14,0,target cube grasped and lifted from seq36,complete,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260815_190747_seed11950031595067970/round_008/cube_scene.json,complete,/home/ianichinose/gazebo_ws/data/teb_pre_cone/pre_cone_e2e_trials_20260815_190747_seed11950031595067970/round_008/gazebo_world_state.log,10029348,/home/ianichinose/gazebo_ws/data/teb_pre_cone/pre_cone_e2e_trials_20260815_190747_seed11950031595067970/round_008/gazebo_world_recording.json,90.0,125.674,2026-08-15T19:24:05+08:00,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260815_190747_seed11950031595067970/round_008,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260815_190747_seed11950031595067970/round_008/roslaunch.log
9,pre_cone_009_1786793185,food,35,35,0,True,correct,False,False,,True,object_grasped,14,14,0,target cube grasped and lifted from seq35,complete,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260815_190747_seed11950031595067970/round_009/cube_scene.json,complete,/home/ianichinose/gazebo_ws/data/teb_pre_cone/pre_cone_e2e_trials_20260815_190747_seed11950031595067970/round_009/gazebo_world_state.log,8954353,/home/ianichinose/gazebo_ws/data/teb_pre_cone/pre_cone_e2e_trials_20260815_190747_seed11950031595067970/round_009/gazebo_world_recording.json,90.0,116.518,2026-08-15T19:26:25+08:00,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260815_190747_seed11950031595067970/round_009,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260815_190747_seed11950031595067970/round_009/roslaunch.log
10,pre_cone_010_1786793314,daily,35,35,1,True,correct,False,False,,True,object_grasped,14,14,0,target cube grasped and lifted from seq35,complete,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260815_190747_seed11950031595067970/round_010/cube_scene.json,complete,/home/ianichinose/gazebo_ws/data/teb_pre_cone/pre_cone_e2e_trials_20260815_190747_seed11950031595067970/round_010/gazebo_world_state.log,8592783,/home/ianichinose/gazebo_ws/data/teb_pre_cone/pre_cone_e2e_trials_20260815_190747_seed11950031595067970/round_010/gazebo_world_recording.json,90.0,117.77,2026-08-15T19:28:34+08:00,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260815_190747_seed11950031595067970/round_010,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260815_190747_seed11950031595067970/round_010/roslaunch.log
