round,scenario_id,source_round,repetition,attempt,infrastructure_retry_count,task_id,target_class,success,status,completed_stage,error_code,message,last_operational_stage,last_operational_stage_name,preceding_navigation_failure,delivery_navigation_failure,cone_collision,collision_cones,direct_contact_cones,moved_or_tilted_cones,cone_monitor_status,contact_stream_status,gazebo_recording_status,gazebo_recording_path,gazebo_recording_size_bytes,gazebo_recording_manifest,move_base_goal_count,duration_seconds,started_at,round_dir,log_file,cone_monitor_file,stress_template_file,case_file,scene_measurement_file,navigation_parameter_file,adaptive_monitor_file,adaptive_monitor_status,adaptive_mode_event_count,adaptive_diagnostic_sample_count,adaptive_avoidance_entries,adaptive_avoidance_used,adaptive_avoidance_command_samples,adaptive_avoidance_failure_recovery_samples,adaptive_avoidance_infeasible_samples,adaptive_baseline_fallback_events,adaptive_baseline_fallback_samples,adaptive_baseline_infeasible_samples,adaptive_both_planners_infeasible_samples,adaptive_minimum_plan_clearance_m
1,source_round_007,7,1,1,0,fixed_cone_e2e_001_a01_1786633740,daily,True,task_completed,20,0,target cube delivered to daily workshop and released,20,TASK_COMPLETED,False,False,False,,,,complete,stopped,complete,/home/ianichinose/gazebo_ws/data/cone_zone/end_to_end_stress/fixed_cone_e2e_stress_20260813_230900_adaptive_teb_avoidfp_0p15_stage1_hcprt_c3_s20_i4o3/round_001/gazebo_world_state.log,17078859,/home/ianichinose/gazebo_ws/data/cone_zone/end_to_end_stress/fixed_cone_e2e_stress_20260813_230900_adaptive_teb_avoidfp_0p15_stage1_hcprt_c3_s20_i4o3/round_001/gazebo_world_recording.json,34,138.16,2026-08-13T23:09:00+08:00,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260813_230900_adaptive_teb_avoidfp_0p15_stage1_hcprt_c3_s20_i4o3/round_001,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260813_230900_adaptive_teb_avoidfp_0p15_stage1_hcprt_c3_s20_i4o3/round_001/roslaunch.log,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260813_230900_adaptive_teb_avoidfp_0p15_stage1_hcprt_c3_s20_i4o3/round_001/cone_trial.json,,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260813_230900_adaptive_teb_avoidfp_0p15_stage1_hcprt_c3_s20_i4o3/round_001/case_plan.json,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260813_230900_adaptive_teb_avoidfp_0p15_stage1_hcprt_c3_s20_i4o3/round_001/scene_measured.json,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260813_230900_adaptive_teb_avoidfp_0p15_stage1_hcprt_c3_s20_i4o3/round_001/navigation_parameters.json,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260813_230900_adaptive_teb_avoidfp_0p15_stage1_hcprt_c3_s20_i4o3/round_001/adaptive_teb_diagnostics.json,complete,36,89,1,True,7,0,0,0,0,0,0,0.170115
2,source_round_009,9,1,1,0,fixed_cone_e2e_002_a01_1786633889,daily,True,task_completed,20,0,target cube delivered to daily workshop and released,20,TASK_COMPLETED,False,False,True,cone_14;cone_19,,cone_14;cone_19,complete,stopped,complete,/home/ianichinose/gazebo_ws/data/cone_zone/end_to_end_stress/fixed_cone_e2e_stress_20260813_230900_adaptive_teb_avoidfp_0p15_stage1_hcprt_c3_s20_i4o3/round_002/gazebo_world_state.log,33388639,/home/ianichinose/gazebo_ws/data/cone_zone/end_to_end_stress/fixed_cone_e2e_stress_20260813_230900_adaptive_teb_avoidfp_0p15_stage1_hcprt_c3_s20_i4o3/round_002/gazebo_world_recording.json,33,198.29,2026-08-13T23:11:29+08:00,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260813_230900_adaptive_teb_avoidfp_0p15_stage1_hcprt_c3_s20_i4o3/round_002,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260813_230900_adaptive_teb_avoidfp_0p15_stage1_hcprt_c3_s20_i4o3/round_002/roslaunch.log,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260813_230900_adaptive_teb_avoidfp_0p15_stage1_hcprt_c3_s20_i4o3/round_002/cone_trial.json,,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260813_230900_adaptive_teb_avoidfp_0p15_stage1_hcprt_c3_s20_i4o3/round_002/case_plan.json,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260813_230900_adaptive_teb_avoidfp_0p15_stage1_hcprt_c3_s20_i4o3/round_002/scene_measured.json,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260813_230900_adaptive_teb_avoidfp_0p15_stage1_hcprt_c3_s20_i4o3/round_002/navigation_parameters.json,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260813_230900_adaptive_teb_avoidfp_0p15_stage1_hcprt_c3_s20_i4o3/round_002/adaptive_teb_diagnostics.json,complete,38,171,3,True,54,0,0,0,0,1,0,0.15127
3,source_round_007,7,2,1,0,fixed_cone_e2e_003_a01_1786634099,daily,True,task_completed,20,0,target cube delivered to daily workshop and released,20,TASK_COMPLETED,False,False,True,cone_12,,cone_12,complete,stopped,complete,/home/ianichinose/gazebo_ws/data/cone_zone/end_to_end_stress/fixed_cone_e2e_stress_20260813_230900_adaptive_teb_avoidfp_0p15_stage1_hcprt_c3_s20_i4o3/round_003/gazebo_world_state.log,21406973,/home/ianichinose/gazebo_ws/data/cone_zone/end_to_end_stress/fixed_cone_e2e_stress_20260813_230900_adaptive_teb_avoidfp_0p15_stage1_hcprt_c3_s20_i4o3/round_003/gazebo_world_recording.json,33,154.284,2026-08-13T23:14:59+08:00,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260813_230900_adaptive_teb_avoidfp_0p15_stage1_hcprt_c3_s20_i4o3/round_003,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260813_230900_adaptive_teb_avoidfp_0p15_stage1_hcprt_c3_s20_i4o3/round_003/roslaunch.log,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260813_230900_adaptive_teb_avoidfp_0p15_stage1_hcprt_c3_s20_i4o3/round_003/cone_trial.json,,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260813_230900_adaptive_teb_avoidfp_0p15_stage1_hcprt_c3_s20_i4o3/round_003/case_plan.json,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260813_230900_adaptive_teb_avoidfp_0p15_stage1_hcprt_c3_s20_i4o3/round_003/scene_measured.json,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260813_230900_adaptive_teb_avoidfp_0p15_stage1_hcprt_c3_s20_i4o3/round_003/navigation_parameters.json,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260813_230900_adaptive_teb_avoidfp_0p15_stage1_hcprt_c3_s20_i4o3/round_003/adaptive_teb_diagnostics.json,complete,42,109,4,True,24,0,0,0,0,0,0,0.157186
4,source_round_009,9,2,1,0,fixed_cone_e2e_004_a01_1786634270,daily,True,task_completed,20,0,target cube delivered to daily workshop and released,20,TASK_COMPLETED,False,False,True,cone_19,,cone_19,complete,stopped,complete,/home/ianichinose/gazebo_ws/data/cone_zone/end_to_end_stress/fixed_cone_e2e_stress_20260813_230900_adaptive_teb_avoidfp_0p15_stage1_hcprt_c3_s20_i4o3/round_004/gazebo_world_state.log,27176739,/home/ianichinose/gazebo_ws/data/cone_zone/end_to_end_stress/fixed_cone_e2e_stress_20260813_230900_adaptive_teb_avoidfp_0p15_stage1_hcprt_c3_s20_i4o3/round_004/gazebo_world_recording.json,32,172.966,2026-08-13T23:17:50+08:00,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260813_230900_adaptive_teb_avoidfp_0p15_stage1_hcprt_c3_s20_i4o3/round_004,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260813_230900_adaptive_teb_avoidfp_0p15_stage1_hcprt_c3_s20_i4o3/round_004/roslaunch.log,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260813_230900_adaptive_teb_avoidfp_0p15_stage1_hcprt_c3_s20_i4o3/round_004/cone_trial.json,,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260813_230900_adaptive_teb_avoidfp_0p15_stage1_hcprt_c3_s20_i4o3/round_004/case_plan.json,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260813_230900_adaptive_teb_avoidfp_0p15_stage1_hcprt_c3_s20_i4o3/round_004/scene_measured.json,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260813_230900_adaptive_teb_avoidfp_0p15_stage1_hcprt_c3_s20_i4o3/round_004/navigation_parameters.json,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260813_230900_adaptive_teb_avoidfp_0p15_stage1_hcprt_c3_s20_i4o3/round_004/adaptive_teb_diagnostics.json,complete,42,146,5,True,70,0,0,0,0,1,0,0.167227
5,source_round_007,7,3,1,0,fixed_cone_e2e_005_a01_1786634457,daily,True,task_completed,20,0,target cube delivered to daily workshop and released,20,TASK_COMPLETED,False,False,False,,,,complete,stopped,complete,/home/ianichinose/gazebo_ws/data/cone_zone/end_to_end_stress/fixed_cone_e2e_stress_20260813_230900_adaptive_teb_avoidfp_0p15_stage1_hcprt_c3_s20_i4o3/round_005/gazebo_world_state.log,20747480,/home/ianichinose/gazebo_ws/data/cone_zone/end_to_end_stress/fixed_cone_e2e_stress_20260813_230900_adaptive_teb_avoidfp_0p15_stage1_hcprt_c3_s20_i4o3/round_005/gazebo_world_recording.json,33,150.827,2026-08-13T23:20:57+08:00,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260813_230900_adaptive_teb_avoidfp_0p15_stage1_hcprt_c3_s20_i4o3/round_005,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260813_230900_adaptive_teb_avoidfp_0p15_stage1_hcprt_c3_s20_i4o3/round_005/roslaunch.log,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260813_230900_adaptive_teb_avoidfp_0p15_stage1_hcprt_c3_s20_i4o3/round_005/cone_trial.json,,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260813_230900_adaptive_teb_avoidfp_0p15_stage1_hcprt_c3_s20_i4o3/round_005/case_plan.json,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260813_230900_adaptive_teb_avoidfp_0p15_stage1_hcprt_c3_s20_i4o3/round_005/scene_measured.json,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260813_230900_adaptive_teb_avoidfp_0p15_stage1_hcprt_c3_s20_i4o3/round_005/navigation_parameters.json,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260813_230900_adaptive_teb_avoidfp_0p15_stage1_hcprt_c3_s20_i4o3/round_005/adaptive_teb_diagnostics.json,complete,40,106,3,True,20,0,0,0,0,0,0,0.192223
6,source_round_009,9,3,1,0,fixed_cone_e2e_006_a01_1786634625,daily,False,task_failed,250,7,navigating to requested pose failed: move_base finished with state 4,16,NAVIGATE_TO_DELIVERY,False,True,True,cone_19,,cone_19,complete,stopped,complete,/home/ianichinose/gazebo_ws/data/cone_zone/end_to_end_stress/fixed_cone_e2e_stress_20260813_230900_adaptive_teb_avoidfp_0p15_stage1_hcprt_c3_s20_i4o3/round_006/gazebo_world_state.log,47082637,/home/ianichinose/gazebo_ws/data/cone_zone/end_to_end_stress/fixed_cone_e2e_stress_20260813_230900_adaptive_teb_avoidfp_0p15_stage1_hcprt_c3_s20_i4o3/round_006/gazebo_world_recording.json,33,258.482,2026-08-13T23:23:45+08:00,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260813_230900_adaptive_teb_avoidfp_0p15_stage1_hcprt_c3_s20_i4o3/round_006,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260813_230900_adaptive_teb_avoidfp_0p15_stage1_hcprt_c3_s20_i4o3/round_006/roslaunch.log,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260813_230900_adaptive_teb_avoidfp_0p15_stage1_hcprt_c3_s20_i4o3/round_006/cone_trial.json,,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260813_230900_adaptive_teb_avoidfp_0p15_stage1_hcprt_c3_s20_i4o3/round_006/case_plan.json,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260813_230900_adaptive_teb_avoidfp_0p15_stage1_hcprt_c3_s20_i4o3/round_006/scene_measured.json,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260813_230900_adaptive_teb_avoidfp_0p15_stage1_hcprt_c3_s20_i4o3/round_006/navigation_parameters.json,/home/ianichinose/gazebo_ws/script/logs/fixed_cone_e2e_stress_20260813_230900_adaptive_teb_avoidfp_0p15_stage1_hcprt_c3_s20_i4o3/round_006/adaptive_teb_diagnostics.json,complete,37,273,3,True,83,0,0,0,0,1,0,0.164798
