attempt,capture_slot,case_name,target_class,target_model,requested_x,requested_y,requested_yaw,status,ocr_success,classification_correct,valid_observations,object_translation_m,object_yaw_change_rad,object_moved,failure_reason,duration_seconds,log_file,summary_file
1,1,case_001,electronics,cube_2,-0.821,-0.555,-1.5708,captured,True,True,5,0.0,0.0,False,,71.182,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/logs/run_20260809_144206_seed770690/attempt_001/roslaunch.log,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/ocr_json/run_20260809_144206_seed770690/case_001/summary.json
2,2,case_002,food,cube_0,-0.821,-0.555,-1.5708,infrastructure_error,,,,,,,waiting for Gazebo car3 model timed out: command timed out after 0.5s: rosservice call /gazebo/get_model_state '{model_name: car3}',94.363,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/logs/run_20260809_144206_seed770690/attempt_002/roslaunch.log,
3,2,case_002_retry_02,food,cube_0,-0.821,-0.555,-1.5708,captured,True,True,5,0.0,0.0,False,,66.678,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/logs/run_20260809_144206_seed770690/attempt_003/roslaunch.log,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/ocr_json/run_20260809_144206_seed770690/case_002_retry_02/summary.json
4,3,case_003,electronics,cube_2,-0.821,-0.555,-1.5708,captured,True,True,5,0.0,0.0,False,,70.041,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/logs/run_20260809_144206_seed770690/attempt_004/roslaunch.log,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/ocr_json/run_20260809_144206_seed770690/case_003/summary.json
5,4,case_004,food,cube_0,-0.821,-0.555,-1.5708,captured,True,True,5,0.0,0.0,False,,70.825,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/logs/run_20260809_144206_seed770690/attempt_005/roslaunch.log,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/ocr_json/run_20260809_144206_seed770690/case_004/summary.json
6,5,case_005,daily,cube_1,-0.821,-0.555,-1.5708,captured,True,True,5,0.0,0.0,False,,70.116,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/logs/run_20260809_144206_seed770690/attempt_006/roslaunch.log,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/ocr_json/run_20260809_144206_seed770690/case_005/summary.json
7,6,case_006,electronics,cube_2,-0.821,-0.555,-1.5708,captured,True,True,5,0.0,0.0,False,,72.489,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/logs/run_20260809_144206_seed770690/attempt_007/roslaunch.log,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/ocr_json/run_20260809_144206_seed770690/case_006/summary.json
8,7,case_007,daily,cube_1,-0.821,-0.555,-1.5708,captured,True,True,5,0.0,0.0,False,,72.924,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/logs/run_20260809_144206_seed770690/attempt_008/roslaunch.log,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/ocr_json/run_20260809_144206_seed770690/case_007/summary.json
9,8,case_008,daily,cube_1,-0.821,-0.555,-1.5708,captured,True,True,5,0.0,0.0,False,,71.729,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/logs/run_20260809_144206_seed770690/attempt_009/roslaunch.log,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/ocr_json/run_20260809_144206_seed770690/case_008/summary.json
10,9,case_009,food,cube_0,-0.821,-0.555,-1.5708,captured,True,True,5,0.0,0.0,False,,70.518,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/logs/run_20260809_144206_seed770690/attempt_010/roslaunch.log,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/ocr_json/run_20260809_144206_seed770690/case_009/summary.json
11,10,case_010,daily,cube_1,-0.821,-0.555,-1.5708,captured,True,True,5,0.0,0.0,False,,69.852,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/logs/run_20260809_144206_seed770690/attempt_011/roslaunch.log,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/ocr_json/run_20260809_144206_seed770690/case_010/summary.json
