attempt,capture_slot,case_name,target_class,target_model,requested_x,requested_y,requested_yaw,status,ocr_success,classification_correct,valid_observations,object_translation_m,object_yaw_change_rad,object_moved,failure_reason,duration_seconds,log_file,summary_file
1,1,case_001,food,cube_0,-0.821,-0.555,-1.5708,captured,True,True,5,0.0,0.0,False,,65.008,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/logs/run_20260809_163356_seed770690/attempt_001/roslaunch.log,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/ocr_json/run_20260809_163356_seed770690/case_001/summary.json
2,2,case_002,food,cube_0,-0.821,-0.555,-1.5708,captured,True,True,5,0.0,0.0,False,,66.72,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/logs/run_20260809_163356_seed770690/attempt_002/roslaunch.log,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/ocr_json/run_20260809_163356_seed770690/case_002/summary.json
3,3,case_003,food,cube_0,-0.821,-0.555,-1.5708,captured,True,True,5,0.0,0.0,False,,74.138,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/logs/run_20260809_163356_seed770690/attempt_003/roslaunch.log,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/ocr_json/run_20260809_163356_seed770690/case_003/summary.json
4,4,case_004,food,cube_0,-0.821,-0.555,-1.5708,captured,True,True,5,0.0,0.0,False,,74.132,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/logs/run_20260809_163356_seed770690/attempt_004/roslaunch.log,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/ocr_json/run_20260809_163356_seed770690/case_004/summary.json
5,5,case_005,food,cube_0,-0.821,-0.555,-1.5708,captured,True,True,5,0.0,0.0,False,,69.303,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/logs/run_20260809_163356_seed770690/attempt_005/roslaunch.log,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/ocr_json/run_20260809_163356_seed770690/case_005/summary.json
