attempt,capture_slot,case_name,target_class,target_model,requested_x,requested_y,requested_yaw,status,ocr_success,classification_correct,valid_observations,object_translation_m,object_yaw_change_rad,object_moved,failure_reason,duration_seconds,log_file,summary_file
1,1,case_001,food,cube_0,-0.81785453,-0.566339774,-1.553223841,captured,True,True,5,0.0,0.0,False,,63.748,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/logs/run_20260809_161419_seed770690/attempt_001/roslaunch.log,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/ocr_json/run_20260809_161419_seed770690/case_001/summary.json
2,2,case_002,food,cube_0,-0.806678665,-0.546372366,-1.570537656,captured,True,True,5,0.0,0.0,False,,65.67,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/logs/run_20260809_161419_seed770690/attempt_002/roslaunch.log,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/ocr_json/run_20260809_161419_seed770690/case_002/summary.json
3,3,case_003,food,cube_0,-0.840019862,-0.571282593,-1.542674853,captured,True,True,5,0.0,0.0,False,,70.649,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/logs/run_20260809_161419_seed770690/attempt_003/roslaunch.log,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/ocr_json/run_20260809_161419_seed770690/case_003/summary.json
4,4,case_004,food,cube_0,-0.805640331,-0.551137878,-1.568207438,captured,True,True,5,0.0,0.0,False,,69.359,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/logs/run_20260809_161419_seed770690/attempt_004/roslaunch.log,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/ocr_json/run_20260809_161419_seed770690/case_004/summary.json
5,5,case_005,food,cube_0,-0.819585258,-0.543403457,-1.56783124,captured,True,True,5,0.0,0.0,False,,68.131,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/logs/run_20260809_161419_seed770690/attempt_005/roslaunch.log,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/ocr_json/run_20260809_161419_seed770690/case_005/summary.json
6,6,case_006,food,cube_0,-0.824713325,-0.545583864,-1.602428804,captured,True,True,5,0.0,0.0,False,,66.123,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/logs/run_20260809_161419_seed770690/attempt_006/roslaunch.log,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/ocr_json/run_20260809_161419_seed770690/case_006/summary.json
7,7,case_007,food,cube_0,-0.816661634,-0.569474606,-1.582972636,captured,True,True,5,0.0,0.0,False,,66.866,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/logs/run_20260809_161419_seed770690/attempt_007/roslaunch.log,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/ocr_json/run_20260809_161419_seed770690/case_007/summary.json
8,8,case_008,food,cube_0,-0.826140232,-0.562467932,-1.522127535,captured,True,True,5,0.0,0.0,False,,68.224,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/logs/run_20260809_161419_seed770690/attempt_008/roslaunch.log,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/ocr_json/run_20260809_161419_seed770690/case_008/summary.json
9,9,case_009,food,cube_0,-0.835728314,-0.571171052,-1.555782954,captured,True,True,5,0.0,0.0,False,,68.669,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/logs/run_20260809_161419_seed770690/attempt_009/roslaunch.log,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/ocr_json/run_20260809_161419_seed770690/case_009/summary.json
10,10,case_010,food,cube_0,-0.835530883,-0.539032381,-1.537033923,captured,True,True,5,0.0,0.0,False,,68.192,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/logs/run_20260809_161419_seed770690/attempt_010/roslaunch.log,/home/ianichinose/gazebo_ws/data/35seq_fix/seq35_stress_problem_spot/ocr_json/run_20260809_161419_seed770690/case_010/summary.json
