round,task_id,target_class,target_ground_truth_station,selected_station,observed_class_id,recognition_correct,recognition_status,recognition_failure,stuck,stuck_reason,success,status,completed_stage,last_operational_stage,error_code,message,cube_scene_status,cube_scene_file,gazebo_recording_status,gazebo_recording_path,gazebo_recording_size_bytes,gazebo_recording_manifest,progress_timeout_seconds,duration_seconds,started_at,round_dir,log_file
1,pre_cone_001_1786799100,daily,35,35,1,True,correct,False,False,,True,object_grasped,14,14,0,target cube grasped and lifted from seq35,complete,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260815_210500_seed7694522871009289374/round_001/cube_scene.json,complete,/home/ianichinose/gazebo_ws/data/teb_pre_cone/pre_cone_e2e_trials_20260815_210500_seed7694522871009289374/round_001/gazebo_world_state.log,8121546,/home/ianichinose/gazebo_ws/data/teb_pre_cone/pre_cone_e2e_trials_20260815_210500_seed7694522871009289374/round_001/gazebo_world_recording.json,90.0,118.076,2026-08-15T21:05:00+08:00,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260815_210500_seed7694522871009289374/round_001,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260815_210500_seed7694522871009289374/round_001/roslaunch.log
2,pre_cone_002_1786799232,food,37,37,0,True,correct,False,False,,True,object_grasped,14,14,0,target cube grasped and lifted from seq37,complete,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260815_210500_seed7694522871009289374/round_002/cube_scene.json,complete,/home/ianichinose/gazebo_ws/data/teb_pre_cone/pre_cone_e2e_trials_20260815_210500_seed7694522871009289374/round_002/gazebo_world_state.log,9311865,/home/ianichinose/gazebo_ws/data/teb_pre_cone/pre_cone_e2e_trials_20260815_210500_seed7694522871009289374/round_002/gazebo_world_recording.json,90.0,140.092,2026-08-15T21:07:12+08:00,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260815_210500_seed7694522871009289374/round_002,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260815_210500_seed7694522871009289374/round_002/roslaunch.log
3,pre_cone_003_1786799375,food,35,35,0,True,correct,False,False,,True,object_grasped,14,14,0,target cube grasped and lifted from seq35,complete,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260815_210500_seed7694522871009289374/round_003/cube_scene.json,complete,/home/ianichinose/gazebo_ws/data/teb_pre_cone/pre_cone_e2e_trials_20260815_210500_seed7694522871009289374/round_003/gazebo_world_state.log,7859201,/home/ianichinose/gazebo_ws/data/teb_pre_cone/pre_cone_e2e_trials_20260815_210500_seed7694522871009289374/round_003/gazebo_world_recording.json,90.0,128.591,2026-08-15T21:09:35+08:00,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260815_210500_seed7694522871009289374/round_003,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260815_210500_seed7694522871009289374/round_003/roslaunch.log
4,pre_cone_004_1786799507,food,36,36,0,True,correct,False,False,,True,object_grasped,14,14,0,target cube grasped and lifted from seq36,complete,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260815_210500_seed7694522871009289374/round_004/cube_scene.json,complete,/home/ianichinose/gazebo_ws/data/teb_pre_cone/pre_cone_e2e_trials_20260815_210500_seed7694522871009289374/round_004/gazebo_world_state.log,8125599,/home/ianichinose/gazebo_ws/data/teb_pre_cone/pre_cone_e2e_trials_20260815_210500_seed7694522871009289374/round_004/gazebo_world_recording.json,90.0,136.698,2026-08-15T21:11:47+08:00,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260815_210500_seed7694522871009289374/round_004,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260815_210500_seed7694522871009289374/round_004/roslaunch.log
5,pre_cone_005_1786799658,daily,37,37,1,True,correct,False,False,,True,object_grasped,14,14,0,target cube grasped and lifted from seq37,complete,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260815_210500_seed7694522871009289374/round_005/cube_scene.json,complete,/home/ianichinose/gazebo_ws/data/teb_pre_cone/pre_cone_e2e_trials_20260815_210500_seed7694522871009289374/round_005/gazebo_world_state.log,8879765,/home/ianichinose/gazebo_ws/data/teb_pre_cone/pre_cone_e2e_trials_20260815_210500_seed7694522871009289374/round_005/gazebo_world_recording.json,90.0,137.32,2026-08-15T21:14:18+08:00,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260815_210500_seed7694522871009289374/round_005,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260815_210500_seed7694522871009289374/round_005/roslaunch.log
6,pre_cone_006_1786799798,electronics,36,36,2,True,correct,False,False,,True,object_grasped,14,14,0,target cube grasped and lifted from seq36,complete,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260815_210500_seed7694522871009289374/round_006/cube_scene.json,complete,/home/ianichinose/gazebo_ws/data/teb_pre_cone/pre_cone_e2e_trials_20260815_210500_seed7694522871009289374/round_006/gazebo_world_state.log,8260237,/home/ianichinose/gazebo_ws/data/teb_pre_cone/pre_cone_e2e_trials_20260815_210500_seed7694522871009289374/round_006/gazebo_world_recording.json,90.0,129.239,2026-08-15T21:16:38+08:00,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260815_210500_seed7694522871009289374/round_006,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260815_210500_seed7694522871009289374/round_006/roslaunch.log
7,pre_cone_007_1786799942,electronics,37,37,2,True,correct,False,False,,True,object_grasped,14,14,0,target cube grasped and lifted from seq37,complete,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260815_210500_seed7694522871009289374/round_007/cube_scene.json,complete,/home/ianichinose/gazebo_ws/data/teb_pre_cone/pre_cone_e2e_trials_20260815_210500_seed7694522871009289374/round_007/gazebo_world_state.log,8516223,/home/ianichinose/gazebo_ws/data/teb_pre_cone/pre_cone_e2e_trials_20260815_210500_seed7694522871009289374/round_007/gazebo_world_recording.json,90.0,142.183,2026-08-15T21:19:02+08:00,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260815_210500_seed7694522871009289374/round_007,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260815_210500_seed7694522871009289374/round_007/roslaunch.log
8,pre_cone_008_1786800087,daily,37,37,1,True,correct,False,False,,True,object_grasped,14,14,0,target cube grasped and lifted from seq37,complete,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260815_210500_seed7694522871009289374/round_008/cube_scene.json,complete,/home/ianichinose/gazebo_ws/data/teb_pre_cone/pre_cone_e2e_trials_20260815_210500_seed7694522871009289374/round_008/gazebo_world_state.log,9281175,/home/ianichinose/gazebo_ws/data/teb_pre_cone/pre_cone_e2e_trials_20260815_210500_seed7694522871009289374/round_008/gazebo_world_recording.json,90.0,140.764,2026-08-15T21:21:27+08:00,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260815_210500_seed7694522871009289374/round_008,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260815_210500_seed7694522871009289374/round_008/roslaunch.log
9,pre_cone_009_1786800246,daily,37,37,1,True,correct,False,False,,True,object_grasped,14,14,0,target cube grasped and lifted from seq37,complete,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260815_210500_seed7694522871009289374/round_009/cube_scene.json,complete,/home/ianichinose/gazebo_ws/data/teb_pre_cone/pre_cone_e2e_trials_20260815_210500_seed7694522871009289374/round_009/gazebo_world_state.log,9266607,/home/ianichinose/gazebo_ws/data/teb_pre_cone/pre_cone_e2e_trials_20260815_210500_seed7694522871009289374/round_009/gazebo_world_recording.json,90.0,132.15,2026-08-15T21:24:06+08:00,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260815_210500_seed7694522871009289374/round_009,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260815_210500_seed7694522871009289374/round_009/roslaunch.log
10,pre_cone_010_1786800393,electronics,35,35,2,True,correct,False,False,,True,object_grasped,14,14,0,target cube grasped and lifted from seq35,complete,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260815_210500_seed7694522871009289374/round_010/cube_scene.json,complete,/home/ianichinose/gazebo_ws/data/teb_pre_cone/pre_cone_e2e_trials_20260815_210500_seed7694522871009289374/round_010/gazebo_world_state.log,8201721,/home/ianichinose/gazebo_ws/data/teb_pre_cone/pre_cone_e2e_trials_20260815_210500_seed7694522871009289374/round_010/gazebo_world_recording.json,90.0,120.483,2026-08-15T21:26:33+08:00,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260815_210500_seed7694522871009289374/round_010,/home/ianichinose/gazebo_ws/script/logs/pre_cone_e2e_trials_20260815_210500_seed7694522871009289374/round_010/roslaunch.log
